,World Rank,University Name,City,Country,Overall Score,Academic Reputation,Employer Reputation,Citations per Faculty,Faculty Students Ratio,International Students Ratio,International Faculty Ratio,International Research Network,Employment Outcomes,Total students count,UG student % (Domestic),PG student % (Domestic),International students count,UG student % (International),PG student % (International),Total faculty staff count,Domestic staff %,International staff %
1221,1201-1400,Cleveland State University,Cleveland,United States,0.0,3.8,5.1,5.8,10.1,8.9,3.3,16.7,12.3,12185,78.0,22.0,910,47.0,53.0,761,98.0,2.0
1222,1201-1400,Dokuz Eylül Üniversitesi,Izmir,Turkey,0.0,4.4,5.6,3.8,2.7,3.1,3.1,38.1,5.1,52655,,,1631,,,1818,98.0,2.0
1223,1201-1400,EGE UNIVERSITY,İzmir,Turkey,0.0,6.9,9.9,2.8,12.3,3.4,1.2,60.7,3.6,53217,81.0,19.0,1807,72.0,28.0,3304,100.0,0.0
1224,1201-1400,Feng Chia University,Taichung City,Taiwan,0.0,8.2,8.9,7.4,4.7,9.2,4.8,15.6,9.6,18874,90.0,10.0,1444,85.0,15.0,869,97.0,3.0
1225,1201-1400,Florida Atlantic University - Boca Raton,Boca Raton,United States,0.0,4.6,6.4,10.7,5.9,4.1,8.9,44.1,12.0,22202,85.0,15.0,914,69.0,31.0,1126,94.0,6.0
1226,1201-1400,Fu Jen Catholic University,New Taipei City,Taiwan,0.0,6.3,10.3,7.3,5.6,17.1,7.3,9.5,20.2,18434,89.0,11.0,2059,74.0,26.0,642,95.0,5.0
1227,1201-1400,Fundación Universidad de Bogotá Jorge Tadeo Lozano,Bogotá,Colombia,0.0,5.2,7.9,1.9,9.5,1.2,4.5,8.1,31.2,6577,81.0,19.0,37,,,401,97.0,3.0
1228,1201-1400,Gebze Technical University (GTU),Gebze,Turkey,0.0,2.7,1.6,9.3,13.7,2.2,3.8,24.1,5.6,7487,41.0,59.0,144,47.0,53.0,520,97.0,3.0
1229,1201-1400,German University in Cairo,Cairo,Egypt,0.0,6.5,7.5,2.1,8.0,1.2,15.6,6.9,27.0,12947,84.0,16.0,49,100.0,0.0,743,91.0,9.0
1230,1201-1400,Hanoi University of Science and Technology,Hanoi,Vietnam,0.0,7.6,6.8,5.3,3.3,1.2,3.7,59.7,25.8,38635,96.0,4.0,149,95.0,5.0,1110,97.0,3.0
1231,1201-1400,Helwan University,Helwan,Egypt,0.0,6.0,9.1,1.6,5.4,1.8,1.3,36.9,4.8,127649,88.0,12.0,1794,63.0,37.0,6631,100.0,0.0
1232,1201-1400,Hohai University,Nanjing,China,0.0,3.5,1.4,12.3,9.1,0.0,0.0,55.3,4.6,0,60.0,40.0,694,22.0,78.0,0,,54.0
1233,1201-1400,Hongik University,Seoul,South Korea,0.0,4.1,5.1,3.2,10.0,10.8,19.7,7.9,9.6,19770,86.0,14.0,1672,66.0,34.0,1227,89.0,11.0
1234,1201-1400,Humboldt State University,Arcata,United States,0.0,3.6,2.4,4.9,8.5,1.7,2.8,16.2,13.8,5961,92.0,8.0,79,89.0,11.0,349,98.0,2.0
1235,1201-1400,Illinois State University,Normal,United States,0.0,3.3,4.1,5.3,6.6,2.8,5.0,14.3,14.3,18924,90.0,10.0,505,24.0,76.0,1008,96.0,4.0
1236,1201-1400,Indiana State University,Terre Haute,United States,0.0,5.3,5.8,3.3,7.5,2.6,2.3,4.4,6.7,9133,87.0,13.0,226,55.0,45.0,510,99.0,1.0
1237,1201-1400,"International Islamic University, Islamabad (IIU)",Islamabad,Pakistan,0.0,5.8,12.1,7.3,3.5,6.8,1.7,32.3,11.4,24360,81.0,19.0,1509,79.0,21.0,980,99.0,1.0
1238,1201-1400,Irkutsk State University,Irkutsk,Russia,0.0,3.1,1.5,1.5,22.9,4.4,2.6,9.9,9.9,12281,88.0,12.0,538,78.0,22.0,923,98.0,2.0
1239,1201-1400,Istanbul Bilgi Üniversitesi,Istanbul,Turkey,0.0,3.5,5.3,2.1,16.0,24.8,7.0,7.0,18.3,10420,92.0,8.0,1431,96.0,4.0,775,95.0,5.0
1240,1201-1400,Izmir Institute of Technology (IZTECH),Izmir,Turkey,0.0,5.1,2.3,10.0,5.7,2.6,4.4,13.4,6.1,6343,77.0,23.0,161,57.0,43.0,317,97.0,3.0
1241,1201-1400,Jamia Hamdard,New Delhi,India,0.0,3.9,2.7,11.5,8.6,3.3,0.0,11.5,7.8,9483,74.0,26.0,313,78.0,22.0,522,,
1242,1201-1400,Kindai University (Kinki University),Osaka City,Japan,0.0,4.4,5.1,4.9,10.7,1.8,12.7,24.8,2.7,34393,97.0,3.0,497,91.0,9.0,2192,92.0,8.0
1243,1201-1400,King Mongkut's Institute of Technology Ladkrabang,Bangkok,Thailand,0.0,7.4,13.1,3.0,5.3,1.7,17.1,14.9,17.1,24243,88.0,12.0,307,62.0,38.0,1178,90.0,10.0
1244,1201-1400,Kwansei Gakuin University,Nishinomiya City,Japan,0.0,3.3,7.4,3.2,4.2,4.1,29.7,17.0,8.6,25269,95.0,5.0,1040,82.0,18.0,1111,86.0,14.0
1245,1201-1400,Lucian Blaga University of Sibiu,Sibiu,Romania,0.0,3.1,2.5,1.7,7.9,3.2,7.0,7.4,7.0,13369,71.0,29.0,426,76.0,24.0,812,93.0,7.0
1246,1201-1400,MIREA - Russian Technological University,Moscow,Russia,0.0,3.6,3.6,1.5,9.7,3.8,1.4,7.2,6.0,27397,72.0,28.0,1028,80.0,20.0,1544,100.0,0.0
1247,1201-1400,Makerere University,Kampala,Uganda,0.0,9.4,6.6,4.6,3.7,9.2,11.4,53.1,94.9,34651,91.0,9.0,2694,,,1468,93.0,7.0
1248,1201-1400,Mansoura University,Mansoura,Egypt,0.0,11.1,5.8,2.4,3.5,2.9,2.3,74.9,6.4,190213,87.0,13.0,5362,64.0,36.0,7372,99.0,1.0
1249,1201-1400,Marmara University,Istanbul,Turkey,0.0,5.2,5.1,2.2,6.3,4.0,3.3,32.6,20.8,70356,69.0,31.0,2816,62.0,38.0,3317,98.0,2.0
1250,1201-1400,Meiji University,Tokyo,Japan,0.0,6.4,22.1,1.8,5.8,6.2,10.1,15.7,16.5,32810,93.0,7.0,1890,67.0,33.0,1694,93.0,7.0
1251,1201-1400,Miami University,Oxford,United States,0.0,3.7,6.0,10.7,7.4,12.7,7.1,34.3,7.1,17587,92.0,8.0,1588,87.0,13.0,937,95.0,5.0
1252,1201-1400,Moscow City University,Moscow,Russia,0.0,4.1,1.9,1.1,8.2,4.6,3.5,1.7,3.7,14195,71.0,29.0,638,86.0,14.0,917,97.0,3.0
1253,1201-1400,Moscow Pedagogical State University,Moscow,Russia,0.0,6.5,3.1,1.5,8.3,28.1,1.2,6.4,3.3,16199,81.0,19.0,2378,71.0,29.0,941,100.0,0.0
1254,1201-1400,National Dong Hwa University,Hualien City,Taiwan,0.0,5.0,2.4,6.8,8.2,10.4,3.3,11.1,6.0,9734,79.0,21.0,804,64.0,36.0,563,98.0,2.0
1255,1201-1400,National Research University Moscow Power Engineering Institute (MPEI),Moscow,Russia,0.0,4.0,3.4,2.0,11.6,40.9,8.2,24.7,8.2,10992,72.0,28.0,1986,83.0,17.0,722,94.0,6.0
1256,1201-1400,National Taipei University,Taipei,Taiwan,0.0,6.7,4.2,3.5,9.3,4.2,2.4,5.9,15.6,7940,79.0,21.0,424,75.0,25.0,480,99.0,1.0
1257,1201-1400,National University of Life and Environmental sciences of Ukraine,Kyiv,Ukraine,0.0,5.1,4.4,1.3,21.9,1.7,1.2,17.6,12.1,13472,72.0,28.0,178,75.0,25.0,1042,100.0,0.0
1258,1201-1400,Northern Arizona University,Flagstaff,United States,0.0,6.6,6.1,13.9,4.9,2.6,3.0,48.9,5.3,24986,88.0,12.0,631,75.0,25.0,1158,98.0,2.0
1259,1201-1400,Nova Southeastern University,Fort Lauderdale,United States,0.0,2.9,4.7,3.4,15.8,4.4,3.1,23.5,9.0,16595,34.0,66.0,718,38.0,62.0,1212,98.0,2.0
1260,1201-1400,OSMANIA UNIVERSITY,Hyderabad,India,0.0,4.0,3.2,16.2,3.8,6.6,0.0,15.2,7.0,9430,22.0,78.0,572,42.0,58.0,396,,
1261,1201-1400,Panjab University,Chandigarh,India,0.0,5.5,3.2,17.0,5.2,1.7,0.0,31.7,51.2,17691,50.0,50.0,231,47.0,53.0,1077,,
1262,1201-1400,Pontificia Universidad Católica Madre y Maestra (PUCMM),Santiago,Dominican Republic,0.0,4.6,8.5,1.2,12.5,21.1,12.4,3.5,65.8,9846,94.0,6.0,1177,,,662,92.0,8.0
1263,1201-1400,Pontifícia Universidade Católica de Campinas,Campinas,Brazil,0.0,4.9,4.0,2.0,8.1,1.0,2.6,1.6,4.7,7502,96.0,4.0,7,29.0,71.0,432,98.0,2.0
1264,1201-1400,Pontifícia Universidade Católica do Paraná,Curitiba,Brazil,0.0,4.1,3.2,4.7,5.0,1.6,1.2,17.9,4.8,10370,88.0,12.0,117,84.0,16.0,721,100.0,0.0
1265,1201-1400,Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Porto Alegre,Brazil,0.0,6.9,4.3,5.4,8.8,1.6,2.5,25.3,3.1,14096,85.0,15.0,156,59.0,41.0,662,98.0,2.0
1266,1201-1400,Portland State University,Portland,United States,0.0,4.3,3.4,11.3,9.8,6.0,1.0,53.5,6.6,17186,81.0,19.0,971,58.0,42.0,1061,100.0,0.0
1267,1201-1400,Pukyong National University,Busan,South Korea,0.0,5.0,3.2,10.2,8.4,8.3,6.0,24.7,3.7,15941,89.0,11.0,1134,67.0,33.0,1222,96.0,4.0
1268,1201-1400,Rikkyo University,Tokyo,Japan,0.0,3.3,10.0,2.8,13.1,6.9,26.6,13.3,10.3,21040,94.0,6.0,1318,67.0,33.0,1236,87.0,13.0
1269,1201-1400,Russian State Agrarian University - Moscow Timiryazev Agricultural Academy,Moscow,Russia,0.0,5.4,3.2,1.3,10.0,5.7,2.2,5.3,8.8,11721,76.0,24.0,631,61.0,39.0,702,99.0,1.0
1270,1201-1400,Russian State University for the Humanities,Moscow,Russia,0.0,4.5,2.4,1.3,22.5,4.3,1.6,1.2,6.4,9214,76.0,24.0,395,61.0,39.0,774,99.0,1.0
